접수날짜,불량유형_대,불량유형_중,불량유형_소,원인,유상/무상,처리내역,수리부품,수리비용,수리비용청구여부
2021-04-14,기능,화면,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-10-09,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2023-05-21,기능,화면,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-07-28,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-06-26,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-11-14,기능,화면,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
2023-04-02,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-03-21,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-03-21,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-08-07,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-01-13,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2023-05-13,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-04-11,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-12-02,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-05-13,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-10-20,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000
2021-05-25,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-09-09,기능,화면,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-12-22,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-01-28,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-04-27,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000
2023-01-19,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2023-03-29,기능,화면,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
2021-02-15,기능,화면,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구
2022-04-17,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-10-03,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구
2021-10-21,기능,화면,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2022-06-12,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-07-23,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2021-04-06,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-09-15,기능,화면,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구
2021-05-21,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-10-05,기능,화면,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구
2023-05-26,기능,화면,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-06-15,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구
2022-02-24,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000
2022-06-25,기능,화면,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2021-07-29,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-08-25,기능,화면,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-05-12,기능,화면,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-08-12,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-06-26,기능,화면,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
2021-05-18,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-09-18,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-08-15,기능,화면,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구
2021-03-08,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구
2022-11-01,기능,화면,백화현상,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-08-29,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구
2023-04-07,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-08-18,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-06-07,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-08-04,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2023-02-09,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-03-26,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2023-05-30,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-01-13,기능,화면,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
2021-02-21,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-01-24,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-11-06,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-07-14,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-03-16,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-12-11,기능,화면,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-07-20,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-03-13,기능,화면,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2022-04-12,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-03-15,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-01-15,기능,화면,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2021-07-28,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-12-06,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2022-05-22,기능,화면,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2022-01-31,기능,화면,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2023-01-30,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000
2021-07-06,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-02-26,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2022-08-26,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-10-10,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-05-24,기능,화면,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
2022-07-01,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-06-13,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2023-04-12,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-05-18,기능,화면,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2021-05-06,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-09-12,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구
2023-01-14,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-04-09,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2021-12-09,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-04-18,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구
2021-07-05,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구
2022-05-18,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구
2022-12-22,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-08-30,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-03-16,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-03-23,기능,화면,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-11-01,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2023-05-19,기능,화면,켜지지 않음,휴즈 끊어짐,유상,부품교체,Fuse,3000,3000
2021-03-17,기능,화면,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2022-11-14,기능,화면,안켜짐,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구
2022-11-11,기능,화면,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구
2021-07-18,기능,화면,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2022-06-17,기능,화면,백화현상,액정 고장,유상,부품교체,액정 Ass'y,80000,80000
2022-03-29,기능,화면,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2021-09-13,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-04-28,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-03-18,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-07-27,기능,화면,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
2023-04-07,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-04-06,기능,화면,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-09-19,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-09-12,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-01-05,기능,화면,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2023-05-02,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-03-08,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-12-31,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-02-26,기능,화면,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2021-08-15,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-05-21,기능,화면,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2021-07-10,기능,화면,안켜짐,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구
2021-03-16,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-12-08,기능,화면,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구
2022-02-07,기능,화면,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2022-05-13,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-01-05,기능,화면,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000
2022-03-02,기능,화면,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2022-04-25,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2023-01-28,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-01-06,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-10-13,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2023-02-04,기능,화면,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2021-05-20,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-07-09,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-05-19,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2023-05-07,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-04-06,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2023-01-31,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-10-15,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-04-22,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-03-30,기능,화면,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2022-03-05,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-10-16,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
2022-07-21,기능,화면,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구
2021-09-15,기능,화면,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
2023-03-16,기능,화면,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-02-19,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-10-29,기능,화면,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000
2021-10-20,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-07-26,기능,화면,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2022-04-19,기능,화면,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2021-12-15,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-03-31,기능,화면,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-03-07,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
2021-02-09,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-10-20,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2021-07-13,기능,화면,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구
2022-12-02,기능,화면,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
2022-08-30,기능,화면,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구
2021-03-07,기능,화면,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
2021-08-17,기능,화면,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2022-03-24,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-11-10,기능,화면,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
2023-05-03,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000
2021-08-07,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
2021-03-11,기능,화면,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-09-29,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-05-18,기능,화면,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000
2021-12-15,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-12-15,기능,화면,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000
2021-10-11,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-05-03,기능,화면,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2022-02-12,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-04-01,기능,화면,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2022-04-16,기능,화면,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
2021-06-29,기능,화면,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
2022-02-20,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2021-09-25,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-05-26,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-05-29,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-12-10,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-02-14,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000
2021-11-10,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-11-20,기능,화면,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구
2021-08-14,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-05-06,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-10-12,기능,화면,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2023-04-24,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-08-05,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000
2022-07-23,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-05-10,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-01-08,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구
2021-01-14,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-03-03,기능,화면,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-08-12,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-12-26,기능,화면,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2021-09-11,기능,화면,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
2021-10-16,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2021-08-24,기능,화면,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000
2023-04-11,기능,화면,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2022-08-27,기능,화면,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2022-03-10,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-01-22,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-05-03,기능,화면,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2021-04-07,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2023-01-09,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-09-02,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-01-23,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2022-04-04,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
2022-05-04,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-12-29,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2023-03-04,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-01-31,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-06-20,기능,화면,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-01-29,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-05-27,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-02-13,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-02-19,기능,화면,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-04-29,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2023-04-26,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-05-27,기능,화면,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2021-11-20,기능,화면,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2021-05-16,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구
2022-08-20,기능,화면,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2022-07-21,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-02-16,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
2023-05-04,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-01-02,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-10-22,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-12-11,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-12-13,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2021-01-06,기능,화면,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2022-08-06,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
2021-05-03,기능,화면,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2022-11-23,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-07-08,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2021-10-22,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2023-01-18,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-05-03,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-06-30,기능,화면,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구
2022-02-18,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2023-05-04,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2023-02-23,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2023-04-08,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-04-01,기능,화면,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2022-05-27,기능,화면,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2023-04-21,기능,화면,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
2021-03-09,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-10-17,기능,화면,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000
2023-02-21,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2021-08-25,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-09-05,기능,화면,켜지지 않음,휴즈 끊어짐,유상,부품교체,Fuse,3000,3000
2022-04-06,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-10-25,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구
2021-08-28,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-10-02,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000
2021-11-08,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-07-03,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-05-16,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2021-09-15,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구
2021-01-28,기능,화면,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-10-26,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
2022-07-15,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2022-09-24,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2023-05-28,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
